クエストID,変数番号,Quest Name,Quest Rank,Quest Level,Explanation,Client,Order conditions,Derived conditions,Clear conditions,Success Reward,受注場所,受注場所詳細,クエストアイコン,アダルト表示,アダルトキャラ,表示順序,<br>
1,501,To the Adventurers Guild,-,-,"Clea who is about to request a dragon subjugation mission
heads towards the capital city of Fotizona where the
adventurers guild Ftera is located.",-,-,-,-,-,-,,-,非表示,-,1,<br>
2,502,To the Adventurers Guild once again,-,-,"Clea who aspires to be an adventurer is now heading to the
capital city of Fotizona to join the Adventurers Guild.",-,-,-,-,-,-,,-,非表示,-,2,<br>
3,503,Gathered individuals,-,-,"Clea will gather companions in order to join the
Adventurers Guild on the orders of Guild Master Agonia.",-,-,-,-,-,-,,-,非表示,-,20,<br>
4,504,Odd jobs at the Adventurers Guild,-,1,"Please handle the miscellaneous tasks within the
Adventurers Guild as instructed by Agonia the guild
master who is currently a temporary member and beginner-
level.",Guild Leader Agonia,・Receiving orders from Guild Master Agonia.,-,"Complete all the miscellaneous tasks at the Adventurers
Guild.",・Leaf of 500 HP Recovery (Small),ギルド,-,icon_guild_wings_1,非表示,-,3,<br>
5,505,Extermination of a large rat.,-,1,"◯Please carry out the extermination of the large rats that
are appearing in the residential area. This is a request
from Guild Master Agonia who is currently a temporary
member and is in charge of handling beginner-level tasks.",Guild Leader Agonia,・Receiving orders from Guild Master Agonia.,-,Exterminate the large rat in the residential area.,・500・Kurumi (Small) with increased physical attack power.,ギルド,-,icon_guild_wings_1,非表示,-,4,<br>
6,506,Assisting the guild members.,-,-,"Please help with the tasks and requests of the Adventurers
Guild members in order to become a full-fledged member.",-,-,-,-,-,-,-,-,非表示,-,6,<br>
7,507,Arros Cave Exploration,-,2,"Please complete the request from Melos the intermediate-
level member for the investigation of the Arros Cave.",Melos the Hole Digger,-,-,Completed the investigation of the Arros Cave.,・Book of SP Increase,ギルド,-,icon_guild_seek_1,非表示,-,7,<br>
8,508,Forgotten item in the cafeteria.,-,2,"Please complete all the small requests from the Stolge of
Compassions request board at the Fotizona Avenue for
intermediate-level temporary members.",Stolge of Affection,-,-,Complete all the small requests.,Cream that increases physical attack by 500.,ギルド,-,icon_guild_delivery_1,非表示,-,8,<br>
9,509,Children of the Pioneers,-,-,"Please make contact with the children of the settlers in the
Barie region on behalf of Stolge of Affection
intermediate-level member.",-,-,-,-,-,-,-,-,非表示,-,9,<br>
10,510,An annoying client.,-,2,"Request from Intermediate-level Mage Relm who is a
temporary member. Please obtain the herb called
Imiserinosus Lips together with Relm.",Mage Relm,・Receiving orders from Guild Master Agonia.,-,Obtain the herb Imiserinos Lips.,・500G,ギルド,-,icon_guild_wings_1,非表示,-,10,<br>
11,511,Relms forgotten item.,-,2,"Request from Advanced Member Provisional Clea the Mage.
Please complete the task that Clea the Mage left
unfinished at the Magic Academy.",Mage Relm,・I have become an advanced temporary member.,-,Complete the unfinished tasks at the Magic Academy.,-,ギルド,-,icon_guild_seek_1,非表示,-,11,<br>
12,512,Re-investigation of the Arros Cave,-,2,"◯Temporary Advanced Member Support Request - Investigation
of the Allos Cave Re-survey We will be conducting an
investigation of the space discovered deep within the cave.",Melos the Hole Digger,・I have become an advanced temporary member.,-,Completed the re-investigation of the Arros Cave.,・500・Kurumi (Small) with increased agility,ギルド,-,icon_guild_seek_1,非表示,-,12,<br>
13,513,Fragile girl Ect,-,-,"Please go meet Ect the daughter of Melos who received a
request from the loving Stolge to dig a hole.",-,-,-,-,-,-,-,-,非表示,-,14,<br>
14,514,Request from the Trogo Orphanage.,-,2,"◯Temporary Advanced Member Support Request from Sister Eleo:
Please rehabilitate the delinquent sister at the church.",Sister Eleo,・Getting permission from receptionist Piste.,-,Rehabilitation of the Delinquent Sister,・500G,ギルド,-,icon_guild_wings_1,非表示,-,15,<br>
15,515,Song of the Hero,-,-,"Please report the heroic achievements worthy of a new song
requested by the traveling bard.",Bard,・Talking to the bard.,-,-,-,カンプス,-,-,非表示,-,154,<br>
16,516,Goblins Nest,-,,"Please defeat the goblins in the overflowing cave as
proposed by the traveling minstrel.",Bard,・Talking to the bard.,-,Defeat the goblin.,-,カンプス,-,-,非表示,-,155,<br>
17,517,Request from the priestess Sophia.,-,-,"Please persuade Eleo to grant permission for the departure
of the request from the priestess Sophia.",-,-,-,-,-,-,,-,非表示,-,16,<br>
18,518,Adventurers Guild Ritual,-,-,"Please participate in the ceremony to become a formal member
of the Adventurers Guild Ftera.",-,-,-,-,-,-,,-,非表示,-,17,<br>
19,519,Dragon Subjugation,-,∞,"The request is to defeat a dragon a mythical monster which
is a challenge for elite adventurers. Since there is
absolutely no information about the dragon the request also
includes an investigation.",？？？,・Obtaining permission from Guild Master Agonia.,-,Dragon Subjugation,？？？,ギルド,-,icon_guild_dragon,非表示,-,52,<br>
20,520,Delivery of high-quality wine.,-,1,"Clea please deliver a bottle of high-quality wine from the
Varieté winery to Gesus house. If Cleas lewdness level
increases adult scenes will be avoided.",Former miner Gesus,・Cleas turn・Cleas lewdness level 1,-,Delivering high-quality wine to the client.,・800G,バリエ,掲示板,icon_adult_001_1,表示,クレア,101,<br>
21,521,Dirty hands.,-,,"Please go to Gesus house and lend him your chest as per his
request as a former miner.",Former miner Gesus,"・Clea has cleared the delivery of high-class wine at Cleas
Lewdness Level.",-,Lend your chest to the former miner Gesus.,・500G,バリエ,掲示板,icon_adult_001_loop_1,表示,クレア,102,<br>
22,522,Forgotten Letter,-,1,"Please deliver this letter to the delivery person in front
of the Crystal Abandoned Mine at the request of the miner
Rock. Noras lewd level will increase and adult scenes will
be avoided.",Miner Rock,・Thief Noras Execution ・Thief Noras Lewdness Level 1,-,Deliver the miner Rocks letter to the delivery person.,・300G,バリエ,掲示板,icon_adult_002_1,表示,ノラ,103,<br>
23,523,Delivery persons break,-,,"Please help Deliveryman Wei take a break in front of the
Crystal Abandoned Mine.",Delivery person Wei.,"・Thief Nora has completed the quest ・Thief Nora has reached
the level of lewdness ・Clea has cleared the forgotten letter",-,Helping Deliveryman Wei take a break.,・500G,バリエ,掲示板,icon_adult_002_loop_1,表示,ノラ,104,<br>
24,524,Pack of wolves,-,3,"Please eliminate a pack of wolves that are attacking
livestock as requested by the tag of the owner of the ◯
Adventurer Support Request Store.",Shopkeeper Tag,・Accompanying Shimosu in the Unknown Night.,-,Eliminate the boss of the wolf pack.,・1000G,ギルド,-,icon_guild_hunt_1,非表示,-,18,<br>
25,525,Cleaning the Kasaro Bathhouse,-,3,"Please exterminate the pests that have appeared and
investigate the cause as requested by the manager of the
Kasaro Bathhouse who is dealing with novice adventurers.",Manager of the Casaro Bathhouse,・Accompanying Stolge of Affection,-,Exterminate the pests that occur in the Casaro bathhouse.,・1000・Free use of the Casaro bathhouse.,ギルド,-,icon_guild_hunt_1,非表示,-,19,<br>
26,526,A town with a harbor.,-,3,"Please expose the falsehood of the requestor the wealthy
merchant Acreo who is a client of the Guild Master Agonia
for the request from the Guild for fledgling adventurers.",Great Merchant Acreo,・Accompanying Guild Master Agonia,-,Killing the merchant Kinos.,・1000G,ギルド,-,icon_guild_fight_1,非表示,-,21,<br>
27,527,Quiet village,-,3,"◯ Please eliminate the ferocious beasts that are coming to
the village of Illemo as requested by the village chief
Olden who handles requests for novice adventurers.",Village Chief Olden,"・Clea has cleared the wolf pack ・Clea has cleared the
cleaning of the Kasaro bathhouse ・Clea has cleared the town
with the harbor",-,"Exterminate the ferocious beasts that come to the village of
Iremo.",・500・Kurumi (Medium) with increased magic attack.,ギルド,-,icon_guild_hunt_1,非表示,-,24,<br>
28,528,Dragons voice.,-,-,"Please solve the big problem that has attacked the small
village of Iremo as requested by Village Chief Olden.",-,-,-,-,-,-,-,-,非表示,-,25,<br>
29,529,Black powder,Rookie adventurer,4,"Please gather evidence of the spread of drugs in the empire
as requested by General Atu a fledgling adventurer.",General Atu,・Obtaining permission from Guild Master Agonia.,-,Gathering evidence of the spreading drug.,・Promotion to a Skilled Adventurer,ギルド,-,icon_guild_collect_2,非表示,-,26,<br>
30,530,Confession of a sinner,Skilled adventurer,4,"Please assist in the redemption of my past as a member of
the notorious band of thieves the Sinners by taking on a
request from the skilled adventurer Pecado.",Sinner Pecado,・Becoming a skilled adventurer.,-,Complete the redemption of the sinner Pecado.,・100G,ギルド,-,icon_guild_seek_2,非表示,-,27,<br>
31,531,The promise to protect.,Skilled adventurer,4,"Please collect all the debts from two locations as requested
by the skilled adventurer loan agency Frimata.",Loan Shark Flea Market,・Becoming a skilled adventurer.,-,To collect all debts.,・500G,ギルド,-,icon_guild_collect_2,非表示,-,28,<br>
32,532,Ects visit,-,-,"Please go visit Ect who is seriously ill on behalf of
Melos the Hole-Digger.",-,-,-,-,-,-,-,-,非表示,-,29,<br>
33,533,Secure the transportation route.,Skilled adventurer,4,"Please secure the transportation route for the giant crystal
as requested by the skilled adventurer and noble Kasaro.",Noble Kasaro,・Clea has finished visiting Ect.,-,Securing transportation routes.,・1000G,ギルド,-,icon_guild_seek_2,非表示,-,30,<br>
34,534,Ancient Ruins Investigation,-,2,"Please investigate the mysterious ancient ruins requested by
the Adventurers Guild. This quest can be accepted multiple
times.",Adventurers Guild,Clea has cleared the re-investigation of the Arros Cave.,-,Investigating ancient ruins.,・100G,ギルド,-,icon_sab_guild_orbit_1,非表示,-,13,<br>
35,535,Transport of the Giant Crystal,-,-,"Please retrieve the giant crystal from Noble Kasaro and
deliver it to Noble Kasaro.",-,-,-,-,-,-,-,-,非表示,-,31,<br>
36,536,A ship soaring through the sky.,-,-,"Please prepare to complete the request from the noble Kasaro
to build an airship.",-,-,-,-,-,-,-,-,非表示,-,32,<br>
37,537,Witch of the Great Rock Castle,-,5,"Please stop the rampage of the sorceress Anat who is the
only daughter of the sorcerer Leso from the Great Rock
Castle.",Mage Leso,・Obtaining permission from the wanderer Cors,-,Defeat the witch Anat in the Great Rock Castle.,・1000G,ミュコス,掲示板,icon_stray_arrest_2,非表示,-,33,<br>
38,538,A man with a knife tattoo.,-,2,"Please capture the man with a knife tattoo who is a defector
from the organization requested by the wanderer Cors.",Cors the Wanderer,Clea has cleared the witch in the Great Rock Castle.,-,Capture the defector from the organization.,・500G,ミュコス,掲示板,icon_stray_arrest_1,非表示,-,168,<br>
39,539,Female warrior dancer,-,,"Request from the mediator Vrepo: Please participate in a
strip show at the illegal bar of Mucos. You can receive this
order as many times as you meet the conditions.",Mediator Vrepo,"・Clea has cleared the man with the lewdness level 1~ and a
knife tattoo.","・Clea is at the lewd level. ・To be fully naked you need the
sexual technique [Sweet Body Lv.2] or higher. ・To have
vaginal creampie you need the sexual technique [Disobedient
Child Lv.3].",Participating in a strip show at an illegal bar.,・500G,ミュコス,掲示板,icon_adult_001_loop_1,表示,クレア,169,<br>
40,540,Thief Dancer,-,,"Request from the mediator Vrepo: Please participate in a
strip show at the illegal bar of Mucos. You can receive the
order as many times as you meet the conditions.",Mediator Vrepo,"・Clea the promiscuous level 1 thief has cleared the man
with the knife tattoo.","・The thief Nora requires a level of lewdness・nakedness of at
least Sexual Technique [Night Butterfly Lv.2] or higher.",Participating in a strip show at an illegal bar.,・500G,ミュコス,掲示板,icon_adult_002_loop_1,表示,ノラ,170,<br>
41,541,Dancer of the Magician,-,,"Request from the mediator Vrepo: Please participate in a
strip show at the illegal bar of Mucos. You can receive this
order as many times as you meet the conditions.",Mediator Vrepo,"・The promiscuous level 1 sorceress Relm has cleared the man
with a knife tattoo.","・The promiscuous level of the magician Relm is
【Inexperienced Body Level 2】 or higher for being completely
naked. ・For vaginal ejaculation the sexual technique
【Sexual Seeker Level 3】 is required.",Participating in an illegal strip show.,・500G,ミュコス,掲示板,icon_adult_003_loop_1,表示,リルム,171,<br>
42,542,Dancer of the Cleric,-,,"Request from the mediator Vrepo: Please participate in a
strip show at the illegal bar of Mucos. You can receive the
order as many times as you meet the conditions.",Mediator Vrepo,"・Clea the priestess is clearing a promiscuous level 1~・She
is clearing a man with a knife tattoo.","・Sophia the priestess has a promiscuity level of ・In order
to be fully naked you need a sexual technique of at least
【Enchanting Body Level 2】.",Participating in an illegal strip show.,・500G,ミュコス,掲示板,icon_adult_004_loop_1,表示,ソフィア,172,<br>
43,543,Cleas massage.,-,-,Please enjoy a service massage at the Casaro Bathhouse.,Shop assistant,Clea has finished cleaning the Kasaro bathhouse.,・Clea is at lewdness level 3 or higher.,Receiving a massage at the Casaro bathhouse.,-,カサロ浴場,受付,-,表示,クレア,226,<br>
44,544,Noras massage.,-,-,Please enjoy a service massage at the Casaro Bathhouse.,Shop assistant,Clea is clearing the Casaro bathhouse.,"・To perform vaginal creampie on the promiscuous level 3
thief Nora you need sexual technique of at least
Enchanting Body level 2.",Receiving a massage at the Casaro bathhouse.,-,カサロ浴場,受付,-,表示,ノラ,227,<br>
45,545,Relms massage.,-,-,Please enjoy a service massage at the Casaro Bathhouse.,Shop assistant,Clea has finished cleaning the Kasaro bathhouse.,"・To perform vaginal creampie on the promiscuous level 3 mage
Relm you need sexual technique at least level 2 of the
skill Blossoming of the Transient Flower.",Receiving a massage at the Casaro bathhouse.,-,カサロ浴場,受付,-,表示,リルム,228,<br>
46,546,Sophias massage.,-,-,Please enjoy a service massage at the Casaro Bathhouse.,Shop assistant,Clea is clearing the cleaning of the Kasaro bathhouse.,・The priestess Sophia is at lewdness level 3 or higher.,Receiving a massage at the Casaro bathhouse.,-,カサロ浴場,受付,-,表示,ソフィア,229,<br>
47,547,Mischievous Cook,-,1,"Farmer Namos request: Retrieve the necklace from the cook
Pete. If Sophias lewdness level increases the adult scene
will be avoided.",Farmer Namo,"・Cleric Sophia joins the party. ・Cleric Sophia becomes a
companion. ・Cleric Sophias lewdness level is 1.",-,Retrieve the necklace from the cook Pete.,・100G,カンプス,掲示板,icon_adult_004_1,表示,ソフィア,147,<br>
48,548,False bravado,-,,"Pete the Cooks Request: Please go to Petes house and lend
him your chest. You can accept the request multiple times
until Sophias lewdness level increases.",Chef Pete,"・Clea the priestess has cleared the level of the lewd
priestess Sophia. ・Clea the priestess has cleared the level
of the mischievous cook.",-,Lending my chest to the cook Pete.,・500G,カンプス,掲示板,icon_adult_004_loop_1,表示,ソフィア,148,<br>
49,549,Whereabouts of Livestock,-,3,"Clea please retrieve the stolen cow from the farmer Albos
request. If Cleas lewd level increases the adult scene
will be avoided.",Farmer Albo,・Cleas turn・Cleas lewdness level 1,-,Retrieve the stolen cow.,・500G,カンプス,掲示板,icon_adult_001_1,表示,クレア,145,<br>
50,550,Invitation from the Information Broker,-,,"The request from the male informant is to help out at the
informants house and take a break. You can accept the
request multiple times until Cleas lewd level increases.
[v0]",Male informant,"・Cleas condition ・Cleas lewdness level ・Clearing the
whereabouts of livestock",-,Helping the male information broker take a break.,・500G,カンプス,掲示板,icon_adult_001_loop_1,表示,クレア,146,<br>
51,551,Reserved Crystal,-,2,"Researcher Dokusas Request: Please collect the experimental
crystals in place of Dokusa. If Relms lewdness level
increases adult scenes will be avoided.",Researcher Dokusa,・The magician Relm is at level 1 of lewdness.,-,Retrieval of experimental crystals.,・500G,カノナス,掲示板,icon_adult_003_1,表示,リルム,125,<br>
52,552,The Wizards Mouth,-,,"Clea Nora Relm Sophia Celis Piste Ect Caron Emoni
Amina Armada Phoni Eleo Perno please lend me your
mouth and go to the merchant Oros house. You can receive
the request multiple times until Relms lewdness level
increases.",Merchant Oro,"・The magician Relm is dealing with... ・The magician Relm is
at a lewd level... ・She has cleared the reserved crystal.",-,Lending my voice to the merchant Oro.,・500G,カノナス,掲示板,icon_adult_003_loop_1,表示,リルム,126,<br>
53,553,Defeating the man-eating bear.,-,3,"Please defeat the elusive man-eating bear that the citizen
Kaga has requested. If Relms lewdness level increases
adult scenes will be avoided.",Citizen Kaga,"・Mage Relm joins the party. ・Mage Relms lewdness level is
1.",-,Defeating the man-eating bear.,・800G,バリエ,掲示板,icon_adult_003_1,表示,リルム,105,<br>
54,554,The Hunters Pleasure,-,,"Hunters Request from Monster House Please go to the
Hunters Monster House and help them take a break. You can
accept the request multiple times until Relms lewdness
level increases.",Hunter Monster,"・Mage Relm has cleared the quest ・Mage Relm has reached the
lewdness level ・She has cleared the quest to defeat the man-
eating bear",-,Helping the hunter Monse take a break.,・500G,バリエ,掲示板,icon_adult_003_loop_1,表示,リルム,106,<br>
55,555,Stubborn informant,-,4,"Please negotiate with the researcher Dokusa to request the
cooperation of the bull Lopos. If Sophias lewdness level
increases the adult scene will be avoided.",Researcher Dokusa,"・Cleric Sophia joins the party. ・Cleric Sophia becomes a
companion. ・Cleric Sophias lewdness level is 1.",-,Get the male bull Lopos to cooperate again.,・500G,カノナス,掲示板,icon_adult_004_1,表示,ソフィア,127,<br>
56,556,The Secret of the Bull,-,,"Please accompany Lopos the bull in his secret hobby that he
cant tell anyone about. You can accept the request multiple
times until Sophias lewd level increases.",Ropos the Bull,"・Clea the priestess has cleared the stubborn informant ・Clea
the priestess has reached the lewdness level",-,Letting out the hidden desires of the bull Lopos.,・500G,カノナス,掲示板,icon_adult_004_loop_1,表示,ソフィア,128,<br>
57,557,Night Thief Moss Collection,-,2,"Please collect the Night Thief Moss that grows in the
Refgaria Forest as requested by Farmer Basura. If Noras
lewdness level increases adult scenes will be avoided.",Farmer Basura,・Thief Noras Execution ・Thief Noras Lewdness Level 1,-,Night Thief Moss Collection,・500G,カノナス,掲示板,icon_adult_002_1,表示,ノラ,123,<br>
58,558,Angry man,-,,"Farmer Basura has a request. Please go to the inn where we
are staying and help relieve stress. You can accept the
request multiple times until Noras lewdness level
increases.",Farmer Basura,"・Thief Nora has completed the Night Thief Moss retrieval
・Thief Nora has reached the Lewd Level",-,Helping Farmer Basura Relieve Stress,・500G,カノナス,掲示板,icon_adult_002_loop_1,表示,ノラ,124,<br>
59,559,Cleas defeat.,-,-,-,-,・Defeated in the underground arena.,-,-,-,-,裏闘技場,-,表示,クレア,230,<br>
60,560,Noras defeat.,-,-,-,-,・Defeated in the underground arena.,-,-,-,-,裏闘技場,-,表示,ノラ,231,<br>
61,561,Relms defeat.,-,-,-,-,・Defeated in the underground arena.,-,-,-,-,裏闘技場,-,表示,リルム,232,<br>
62,562,Sophias defeat.,-,-,-,-,・Defeated in the underground arena.,-,-,-,-,裏闘技場,-,表示,ソフィア,233,<br>
63,563,Dream of an Old Aristocrat,Skilled adventurer,5,"Please gather advanced sorcerers scattered throughout the
country in order to fulfill the request from the skilled
adventurer and noble Kasaro for the realization of a
dream.",Noble Kasaro,Clea has cleared the ship soaring through the sky.,-,Gathering the means to achieve our dreams.,・1000G,-,-,icon_guild_collect_2,非表示,-,34,<br>
64,564,Dragons Wings,-,-,-,-,-,-,-,-,-,-,-,非表示,-,35,<br>
65,565,Secret of the Voice Room,-,5,"Please help the explorer Armada solve the mystery she is
chasing after.",Explorer Armada,"・Recruit the magician Relm as a party member ・Clea must be
at least level 5.",-,Unraveling the secret of the Voice Room.,・1000G,バリエ,掲示板,icon_stray_seek_2,非表示,-,107,<br>
66,566,Black Request Form,Skilled adventurer,5,"Please carry out the request from Agonia the skilled
adventurer and guild leader to dispose of the Dragons
Tears and eliminate the adversaries.",Guild Leader Agonia,・Obtaining permission from Guild Master Agonia.,-,Disposal of Dragons Tears and elimination of enemies.,・Promotion to a Full-fledged Adventurer,ギルド,-,icon_guild_letter,非表示,-,36,<br>
67,567,Request from the Imperial Army.,A seasoned adventurer.,6,"Please assist in subjugating the goblins that have appeared
in the Oros region as requested by General Atu of the
Imperial Army a reliable adventurer.",General Atu,・Becoming a full-fledged adventurer.,-,Subjugation of Goblins in the Oros region.,・1000G,ギルド,-,icon_guild_fight_2,非表示,-,37,<br>
68,568,Ogre extermination,-,-,"Please find and locate the ogre believed to be leading the
goblins as requested by General Atu of the Imperial Army.",-,-,-,I found an ogre.,-,-,-,-,非表示,-,39,<br>
69,569,Invitation from the Bulk Gang Goats,-,-,"Please visit the Bulk Brigades goat at the Bulk Brigades
garrison and fulfill their request.",-,-,-,"Listen to the story from the leader of the Bulk Gang
Goat.",・The right to accept quests in Valt.,-,-,-,非表示,-,41,<br>
