クエストID,変数番号,Quest Name,Quest Rank,Quest Level,Explanation,Client,Order conditions,Derived conditions,Clear conditions,Success Reward,受注場所,受注場所詳細,クエストアイコン,アダルト表示,アダルトキャラ,表示順序,<br>
184,684,Lonely Battle,-,4,"Please collect the necessary shells for the research request
from the Researcher Node at the specified location. It is
unavoidable to encounter Noras adult scene.",Researcher Node,"・Nora the promiscuous thiefs lewd level ・sexual technique
[Level 3: Burning Desire] [Level 2 or higher: Spiders
Thread] is required ・has cleared the red coral reef.","・To perform a vaginal creampie you need a sexual technique
of at least Man-eater Level 2 or higher.",Collecting the shells necessary for research.,・500G,バリエ,掲示板,icon_adult_002_4,表示,ノラ,115,<br>
185,685,Beast of Yohama Beach,-,1,"Please collect the additional shells requested by the
researcher node. This request can be accepted multiple
times.",Researcher Node,"・Clea the promiscuous level of the thief Nora has cleared
the lonely battle with her sexual skills [Level 3: Burning
Desire] and [Level 2 or higher: Spiders Thread].","・To perform a vaginal creampie you need a sexual technique
of at least Man-eater Level 2 or higher.",Collect additional seashells.,・500G,バリエ,掲示板,icon_adult_002_loop_4,表示,ノラ,116,<br>
186,686,Feisty magician,-,6,"Please help rescue Zere who has been captured by pirates
at the request of Zeres friend the pick-up artist Zere. If
Relms lewdness level increases adult scenes will be
avoided.",Zeres friend the pick-up artist.,"・The lewd level of the magician Relm has been
unlocked・Unlocking the sexual technique [Little Girl]
[Enchanting Bud]・Clearing the red coral reef",-,Rescuing the pick-up artist Zere.,・3000G,ヴァルト,掲示板,icon_adult_003_3,表示,リルム,213,<br>
187,687,Troubled soldiers,-,7,"Please solve the problem of being troubled by goblins which
is a request from the Imperial soldiers. It is unavoidable
to encounter an adult scene with Relm.",Imperial soldier,"・The lewd level of the magician Relm: Sexual Techniques
[Exhibitionist Lv.3] [Masturbation Lv.3] is required. ・The
magician Relms skill: Discovery is at Lv. ・Having cleared
the Ogre Subjugation.","・To perform a vaginal creampie the sexual technique
[Enchanting Blossom Lv.3] is necessary.",Solving the troubles of the imperial soldiers.,・3000G,オロス,掲示板,icon_adult_003_4,表示,リルム,203,<br>
188,688,Reckless order.,-,1,"Please complete a more effective medicine than the one
requested by the Imperial soldiers. This request can be
accepted multiple times.",Imperial soldier,"・The lewd level of the magician Relm: Sexual Techniques
[Exhibitionist Lv.3] [Masturbation Lv.3] is required. ・The
skill of the magician Relm: Discovery is at Lv. ・She has
cleared the troubled soldiers.","・To perform a vaginal creampie the sexual technique
[Enchanting Blossom Lv.3] is necessary.",Solving the troubles of the imperial soldiers.,・3000G,オロス,掲示板,icon_adult_003_loop_4,表示,リルム,204,<br>
189,689,The Jewel of Otherworldly Form,-,9,"Please solve the mystery of the mysterious gemstone as
requested by the skilled adventurer and archaeologist Paro.",Archaeologist Paryo,"・I have exchanged all the items that can be exchanged with
ancient coins ・I have cleared the disappeared merchant.",-,Solving the mystery of the abnormal jewel.,・3000G,ギルド,-,icon_guild_fight_3,非表示,-,70,<br>
190,690,Beautiful goddesses,-,6,"Please deliver high-quality firewood to the Kasaro bathhouse
in order to heat the water. It is unavoidable to encounter
Sophias adult scene.",Firewood Craftsman Torch,"・The lewd level of the priestess Sophia and Clea ・Sophias
sexual technique [Secret Garden Lv.3] [Rush and Fill Lv.3]
are required ・Sophias skill as a priestess: Temptation Lv.
・Cleas sexual technique [Hidden Desires Lv.3] is required
・Having cleared the return of the sisters image.",-,Carrying in the lumber.,・3000G,ヴァルト,掲示板,icon_adult_004_4,表示,ソフィア,220,<br>
191,691,Hanged Sorcerer,-,5,"As part of the researcher Caros request for research
please show me the traditional attire of the Far East. It is
unavoidable to encounter adult scenes involving Relm.",Researcher Caros,"・The lewd level of the mage Relm is 【Seduction
Lv.3】【Blossoming Lv.3】【Coquettish Gaze Lv.2 or higher】. ・She
has cleared the plea to become an Archmage. ・She possesses
the attire of the Far East.",-,Caron shows off her exotic Eastern attire.,・5000G,カノナス,掲示板,icon_adult_003_4,表示,リルム,137,<br>
192,692,Prince of the Sun,-,6,"Please assist in obtaining the prince as requested by the
information broker Leon. If Sophias lewdness level
increases adult scenes will be avoided.",Information Broker Leon,"・Clea the promiscuous level of the priestess Sophia has
unlocked the sexual techniques [Love is Blind] and [Sweet
Trap]. ・The skill [Decipher] of the magician Relm is at
level 3. ・I have obtained a rare map of Valier through the
exchange of ancient coins.",-,Obtain the Sun Prince.,・3000G,バリエ,掲示板,icon_adult_004_3,表示,ソフィア,114,<br>
193,693,Glamorous Gambler,-,6,"Please destroy the illegal gambling den that is operating in
secret as requested by Fuego with the hawk eyes. It is
unavoidable for Sophias adult scene to occur.",Fuego the Hawk-eyed,"・Cleric Sophias Lewd Level・Sexual Technique [Slick Hands
Lv.3] [Seductive Body Lv.3] are required・Cleric Sophias
Skill: Extortion is at Lv.・Clearing under the Iron
Mask・Clearing the Vanished Merchant","・To perform a vaginal creampie you need the sexual
technique [Sweet Trap Lv.3].",Annihilating an illegal gambling den.,・5000G,バリエ,掲示板,icon_adult_004_4,表示,ソフィア,118,<br>
194,694,Buying time,-,1,"Please infiltrate the illegal gambling den on behalf of
Fuego the hawk-eyed and buy us some time. This request can
be accepted multiple times.",Fuego the Hawk-eyed,"・Clea the promiscuous Lv.・Sexual Technique [Masterful Hand
Skills Lv.3] [Seductive Body Lv.3] are required ・Cleas
skill: Extortion is Lv.・Has cleared the splendid gambler","・To perform a vaginal creampie you need the sexual
technique [Sweet Trap Lv.3].",Destroying an illegal gambling den.,・5000G,バリエ,掲示板,icon_adult_004_loop_4,表示,ソフィア,119,<br>
195,695,Keepsake ring,-,6,"Please retrieve the heirloom ring that has ended up in the
black market as requested by the noble Clea.",Noble Cresso,"・Cleas skill: Duel is at level 2 ・She has cleared a request
from the profligate noble",-,Retrieve the memento ring.,・5000G,ヴァルト,掲示板,icon_stray_delivery_2,非表示,-,222,<br>
196,696,Blood spilled on the earth.,-,8,"Please annihilate the Aspida Alliance which continues to
commit atrocities at the request of noblewoman Cresso.",Noble Cresso,"・Cleas skill: Deadly Strike is at Lv. ・Clearing the memento
ring ・Clearing the true identity of the pitch black",-,The destruction of the Aspida Alliance.,・5000G,ヴァルト,掲示板,icon_stray_fight_3,非表示,-,223,<br>
197,697,Dagger of Deirei,-,7,"Please investigate the true identity of the noble who tried
to buy the thief Nora as requested by the skilled
adventurer liaison leader Clevo.",Captain Clevo,"・Nora the Thiefs Skill: Sense of Smell is at Lv. ・She has
cleared the Emma Thief Gangs Encirclement",-,The search for the noble who tried to buy Nora.,-,ギルド,-,icon_sab_guild_collect_3,非表示,-,77,<br>
198,698,Prayer for Whom,-,8,"Please resolve the unidentified oracles attack on the
prayer priestess for the sake of skilled adventurers.",Dayleys Shrine Maiden,"・Clea has cleared two prophecies・and has cleared the Dailay
Short Sword.",-,"Cease the voice that resounds in the Shrine Maiden of
Delray.",-,ギルド,-,icon_sab_guild_hunt_3,非表示,-,78,<br>
199,699,The sea remains unchanged.,-,8,"Please uncover the truth behind the request from the
wanderer Cors regarding the short sword of Deirei.",Cors the Wanderer," ・Thief Noras skill: Lockpicking is at Lv.  ・Clearing
Prayer for Whom  ・Clearing The One Who Houses the Dragon",-,Ill knock down the noble Tragos!,・5000G,ミュコス,掲示板,icon_stray_fight_3,非表示,-,188,<br>
200,700,The back of the phantom thief.,-,6,"Please find the accomplice of the noble Skiros who is the
mysterious thief Perno. It is unavoidable to encounter
Noras adult scene.",Noble Skiros,"・Clea the promiscuous level of the thief Nora must clear
the sexual skills [Night Butterfly Lv.3] and [Pheromone Lv.1
or higher] in order to proceed on the mysterious thief
night. ・She must also clear The Unchanging Sea","・For vaginal creampie the sexual technique [Cage of Lust
Lv.3] is required. ・For being completely naked the sexual
technique [Lewd Voice Lv.3] is required.",Searching for the accomplice of the phantom thief.,・10000G,オロス,掲示板,icon_adult_002_4,表示,ノラ,205,<br>
201,701,Moonlit Stroll,-,1,"Please accompany me on a night stroll as a request from the
noble Skiros. This request can be accepted multiple times.",Noble Skiros,"・Clea the promiscuous level of the thief Nora ・Sexual
technique [Night Butterfly Lv.3] [Pheromone Lv.1 or higher]
is necessary to clear the back of the phantom thief.","・For vaginal creampie the sexual technique [Cage of Lust
Lv.3] is required. ・For being completely naked the sexual
technique [Lewd Voice Lv.3] is required.",Accompany me on a night walk.,・8000G,オロス,掲示板,icon_adult_002_loop_4,表示,ノラ,206,<br>
202,702,The Two Beasts,-,4,"Please obtain and deliver the memory candle a rare item
from the magician Crato. It is unavoidable to encounter an
adult scene with Nora during this event.",Magician Crato,"・Mage Relm and Thief Noras Lewd Level. ・Mage Relms Sexual
Technique [Fallen Lv.3] [Pervert Lv.3] is required. ・Thief
Noras Sexual Technique [Seductive Lv.3] is required.
・Clearing The Unchanging Sea.",-,Passing the Candle of Memories,Negotiation required.,カンプス,掲示板,icon_adult_003_4,表示,リルム,159,<br>
203,703,Reconstruction of Lypi Village,-,8,"Please retrieve the remains of the villagers as requested by
the noble Peros and exterminate the monsters lurking
underground. It is unavoidable to encounter an adult scene
with Clea during this event.",Noble Peros,"・Cleas lewd level ・sexual skills [sensitivity level 3]
[masochistic tendencies level 2 or higher] must ・clear the
Devils Bride ・clear the long night of the researcher","・To perform a vaginal creampie you need the sexual
technique [Erotic Maniac Lv.3].",Retrieval of Remains and Confrontation with Monsters,・8000G,カンプス,掲示板,icon_adult_001_4,表示,クレア,156,<br>
204,704,Maid and Master,-,1,"Please accompany the noble maid from the Peros family and
her master in their play. This request can be accepted
multiple times.",Noble Peros,"・Cleas lewd level ・sexual skills [sensitivity level 3]
[masochistic tendencies level 2 or higher] are necessary
・Cleared the revival of Ripi Village.","・To perform a vaginal creampie you need the sexual
technique [Erotic Maniac Lv.3].",Playing maid and master roleplay.,・8000G,カンプス,掲示板,icon_adult_001_loop_4,表示,クレア,157,<br>
205,705,Sacred Prostitute,-,8,"Please defeat the unidentified werewolf that was requested
by an anonymous person. It is unavoidable to encounter an
adult scene with Sophia.",Anonymous,"・Cleric Sophias Lewd Level・Sexual Technique [Devoted Woman
Level 3] [Distorted Love Level 3] are required・Cleric
Sophias skill: Blessing is cleared at Level 3 whether it
disappears or remains.",-,Defeat the beast.,・8000G,カノナス,掲示板,icon_adult_004_4,表示,ソフィア,140,<br>
206,706,Temptation at the Beach,-,5,"Please help solve the problem regarding Metoki the son of
the noble Barusa. If Sophias lewdness level increases
adult scenes will be avoided.",Noble Barlsa,"・The lewd level of the priestess Sophia has been unlocked
along with her sexual techniques [Enchanting Body] and
[Secret Garden]. ・The skill [Seduction] of the priestess
Sophia is at level 2. ・The Black Rose Thorn has been
cleared.",-,To detain the wealthy heir Metoki.,・5000G,オロス,掲示板,icon_adult_004_3,表示,ソフィア,199,<br>
207,707,Betrayal Tongue,-,3,"Please deliver the herbs for the request from the merchants
book. If Sophias lewdness level increases adult scenes
will be avoided.",Merchant Book,"・Clea has cleared the quest Reclaiming the Place of Rest
by unlocking the lewd level of the priestess Sophia and her
sexual techniques Dark Memories and Endless Nightmare.",-,Delivering medicine.,・666G,ヴァルト,掲示板,icon_adult_004_3,表示,ソフィア,215,<br>
208,708,Charity for the weak,-,4,"Please assist with the pre-activity requested by Sister
Eleo which will take place in the slums with the remaining
defeated soldiers. It is unavoidable to encounter an adult
scene involving Sophia.",Sister Eleo,"・The lewd level of the priestess Sophia is at its peak. Her
sexual techniques include Never-ending Nightmare Level 2 or
higher and Dark Memories Level 3. These skills are
essential for the decisive battle! She has cleared the
Loparo Plunder Squad.","・To perform a vaginal creampie the sexual technique [Love
is Blind Lv.3] is necessary.","Engaging in charity work in the slums with the surviving
soldiers.",・500G,カンプス,掲示板,icon_adult_004_4,表示,ソフィア,160,<br>
209,709,Gentle Retirement,-,1,"Please spend a corrupted time with the request from the
defeated soldiers along with wine. This request can be
accepted multiple times.",Defeated soldiers,"・Clea the promiscuous level of the priestess Sophia has
cleared the sexual technique [Never-ending Nightmare Lv.2 or
higher] and the dark memory Lv.3 which are necessary for
the charity of the weak.","・To perform a vaginal creampie the sexual technique [Love
is Blind Lv.3] is necessary.",Going to meet the surviving soldiers.,・500G,カンプス,掲示板,icon_adult_004_loop_4,表示,ソフィア,161,<br>
210,710,Pride of the Thief,-,6,"Please retrieve the forgotten item left at the campus from
the request of the guard Cork. It is unavoidable to
encounter an adult scene with Nora.",Guard Coke,"・Nora the promiscuous thiefs lewd level ・sexual technique
[villainess level 3] [seductress level 3] is required ・Nora
the thiefs skill: lockpicking is cleared ・by completing a
request from priestess Sophia ・obtained demon Yuans drool
through ancient coin exchange.",-,Recovering the pride of the thief.,・5000G,カンプス,掲示板,icon_adult_002_4,表示,ノラ,158,<br>
211,711,Gentle Lie,-,1,"Please teach magic to the young boy Kalti as his home tutor
as requested by the moneylender Frimata.",Moneylender Flea Market,"・Mage Relms skill: Deciphering is at level 3 ・Cleared the
Three-Legged Hawk",-,To be the tutor of young Carti.,・5000G,カノナス,掲示板,icon_stray_delivery_1,非表示,-,142,<br>
212,712,Gentle magic,-,8,"Please find the missing boy Kalti who disappeared after
receiving a request from the moneylender Frimata. It is
unavoidable to encounter an adult scene involving Relm.",Moneylender Flea Market,"・The lewd level of the magician Relm is at Lv. ・Sexual
skills [Heartbreaking Lv.3] [Sweet Lips Lv.3] are required
・Clearing gentle lies.",-,Rescuing young Carti.,・10000G,バリエ,掲示板,icon_adult_003_4,表示,リルム,117,<br>
213,713,The worst drink.,-,4,"Please obtain a wine that will become a specialty of the
Trubos tavern as requested by the owner Gala. It is
unavoidable to trigger Sophias adult scene.",Shopkeeper Gala,"・Sophia the promiscuous priestess has reached a level of
lewdness. She has mastered the sexual techniques [Quick
Recovery Lv.1 or higher] and [Intoxication Lv.2 or higher].
・She has successfully cleared our new home.","・To perform a vaginal creampie you need the sexual
technique [Hidden Lust Lv.3].",Obtain a sake that will become a specialty.,・3000G,カンプス,掲示板,icon_adult_004_4,表示,ソフィア,162,<br>
214,714,Devils share,-,1,"Please deliver the wine Sophia to the Trivos Tavern as
requested by the owner Gala. You can accept this request
multiple times.",Shopkeeper Gala,"・Sophia the promiscuous priestess has reached the level of
lewdness Lv.・Sexual Technique [Arrival and Pleasure Lv.1 or
higher] [Intoxication Lv.2 or higher] are required・She has
cleared the minimum level of intoxication","・To perform a vaginal creampie you need the sexual
technique [Hidden Lust Level 3].",Retrieve Wine Sophia.,・3500G,カンプス,掲示板,icon_adult_004_loop_4,表示,ソフィア,163,<br>
215,715,Decisive Battle! The Loparo Plunder Squad,-,8,"Please capture the leader of the Loparo Plundering Squad
who was requested by the noble Pido from the Senate.",Noble Pido of the Senate,"・Clea who houses a dragon has been cleared. ・The things
that disappear and the things that remain have been cleared.
・Sophia the priests skill Blessing is at level 4.",-,Capture the leader of the Loparo Plundering Gang.,・10000G,カンプス,掲示板,icon_stray_arrest_3,非表示,-,165,<br>
216,716,The place where the hero was.,-,9,"Please find the name of the bard who forgot the request from
the minstrel.",Bard,"・Mage Relms skill: Deciphering is at Lv. ・Mage Relms
skill: Movement is at Lv. ・Have cleared the Golden Needle.",-,Finding the name of the bard.,-,カンプス,掲示板,icon_stray_collect_3,非表示,-,166,<br>
217,717,Sword of the Sun and Chains of the Full Moon,-,-,"Please break the Full Moon Chain given by the priestess of
Actina and reach the deepest part.",None,Automatic acceptance in Devils Bride 1-9.,-,Searching for a way to enter the Heros Ruins.,-,-,-,-,非表示,-,67,<br>
218,718,Dream of a Weapon Craftsman,-,10,"Please assist the legendary adventurer blacksmith Elero with
a request. It is their lifelong dream to create the ultimate
weapon.",Blacksmith Elero,"・Strengthen everyones weapons up to +10. ・Clear the
location where the hero was. ・Clear the Great Widow.",-,Creating the strongest weapon.,The strongest weapon.,ギルド,-,icon_sab_guild_collect_4,非表示,-,88,<br>
219,719,The Founders Whereabouts,-,8,"Please investigate the whereabouts of the first guild
master Pruce who went missing on behalf of the skilled
adventurer support request from the one-armed Opro.",One-armed Opro,"・Clea clears through the raging winds with bared fangs ・She
clears through things that disappear and things that remain",-,"Investigating the whereabouts of the first guild leader
Pruce.",・5000G,ギルド,-,icon_sab_guild_seek_3,非表示,-,91,<br>
220,720,Unfulfilled dream,-,10,"Please find the whereabouts of the first guild master
Pruce who went missing as requested by the one-armed Opro.",One-armed Opro,Clea has cleared the whereabouts of the founder.,-,"Investigating the whereabouts of the first guild leader
Pruce.",・5000G,カンプス,掲示板,icon_stray_seek_4,非表示,-,167,<br>
221,721,Secret Recipe,-,8,"Please help me gather the ingredients to reproduce the
recipe requested by receptionist Piste.",Receptionist Piste,"・Cleared the Skull Sea ・Cleared from the game board to the
battlefield ・Cleared the Twilight of the Avengers",-,Gathering ingredients for cooking.,・1000G,ギルド,-,icon_stray_collect_3,非表示,-,49,<br>
222,722,Great Widow,-,10,"Please challenge the final trial of the test from Agonia
the Guild Master of the Adventurers Guild and achieve the
last promotion in the Adventurers Guild.",Guild Leader Agonia,Clea has cleared the secret recipe.,-,Overcome the final exam.,Promotion,ギルド,-,icon_sab_guild_fight_4,非表示,-,87,<br>
223,723,Twilight Avenger,-,4,"Please investigate together with Ect the expert adventurer
and aspiring explorer about the gemstones owned by Ect.",Young girl explorer Ect,Clea has cleared a strange friendship.,-,Unraveling the Mystery of the Jewel,・500G,ギルド,-,icon_sab_guild_seek_2,非表示,-,84,<br>
224,724,Twilight of the Avengers,-,8,"Please join Ect the personal invitation from the expert
adventurer and explorer as she heads to the Melos Ruins.",Young girl explorer Ect,Clea has cleared the Twilight Avenger.,-,Follow Ects invitation.,-,ギルド,-,icon_sab_guild_letter,非表示,-,85,<br>
225,725,-The one sitting on the throne.,-,∞,"◯ Expert Adventurer Request: Please defeat Queen Caron and
protect the freedom of the Adventurers Guild as requested
by Prince Lex.",Prince Lex,Clea is clearing through the fierce wind with bared fangs.,-,Giving birth to King Lex.,Freedom of the Adventurers Guild,ギルド,-,icon_guild_wings_4,非表示,-,0,<br>
226,726,Once Again Our Allies,-,10,"Please gather a group of skilled adventurers to assist in
the request from Prince Rex to reclaim the throne.",Prince Lex,-,-,Gathering allies to reclaim the throne.,-,-,-,-,非表示,-,96,<br>
227,727,New allies,-,10,"Please gather a group of skilled adventurers who are willing
to cooperate in reclaiming the throne as proposed by the
noble Kasaro.",Noble Kasaro,-,-,Gathering allies to reclaim the throne.,-,-,-,-,非表示,-,97,<br>
228,728,Invitation from Paradise,-,10,"Please respond to the invitation from the debauched noble
Eshis a request from the ◯ Master Adventurers and secure
their cooperation in reclaiming the throne.",Lewd Aristocrat Eshis,-,-,Responding to the lascivious noble Eshis demands.,Cooperation for the Reclamation of the Throne,ギルド,-,icon_sab_guild_adult,非表示,-,92,<br>
229,729,-Hero of the Empire,-,1,"Please meet with King Lex as the honored individuals who
have contributed to the recovery of the throne as skilled
adventurers.",King Lex,-,-,Meeting with King Lex.,Reward as a person of merit,-,-,-,非表示,-,0,<br>
230,730,The answer has been reached.,-,10,"Please go to the adventurers cave and meet Celis of the
Swift Wind as requested by her.",Celis of the Swift Wind,-,-,Meeting with the swift Celis.,-,-,-,-,非表示,-,100,<br>
231,731,The one sitting on the throne.,-,10,"◯ Expert Adventurer Request: Please defeat Queen Caron and
protect the freedom of the Adventurers Guild as requested
by Prince Lex.",Prince Lex,Clea is clearing through the fierce wind with bared fangs.,-,Giving birth to King Lex.,Freedom of the Adventurers Guild,ギルド,-,icon_guild_crown,非表示,-,93,<br>
232,732,The one who rules the empire.,-,∞," Quest Request from Prince Questrex who has transformed
from the one sitting on the ◯ Throne: Please defeat Queen
Caron and protect the freedom of the empire.",Prince Lex,Fulfilling the wishes of the people Ive met.,-,Giving birth to King Lex.,Freedom of the Adventurers Guild,ギルド,-,icon_guild_wings_4,非表示,-,95,<br>
233,733,For the Empire.,-,-,"Please find allies who will fight alongside you. By
fulfilling certain conditions you will be able to search
the main street.",None,"Automatically accepted in chapters 1-13 by the one sitting
on the throne.",-,Gathering allies to subdue the dragon.,-,-,-,-,非表示,-,98,<br>
234,734,Hero of the Empire,-,1,"Please meet with King Lex as the honored individuals who
have contributed to the recovery of the throne as skilled
adventurers.",King Lex,-,-,Meeting with King Lex.,Reward as a person of merit,-,-,-,非表示,-,94,<br>
235,735,Hero of the Empire,-,1,"Please meet with King Lex as the honored individuals who
have contributed to the recovery of the throne as skilled
adventurers.",King Lex,-,-,Meeting with King Lex.,Reward as a person of merit,-,-,-,非表示,-,99,<br>
